iso,uptime_s,rss_kb,anon_kb,file_kb,swap_kb,threads,host_avail_mb
2026-09-03T13:58:37Z,201379,659996,126832,533168,0,17,3810
2026-09-03T13:59:37Z,201439,646516,126832,519688,0,17,3809
2026-09-03T14:00:37Z,201499,649420,126832,522588,0,17,3835
2026-09-03T14:01:37Z,201559,652316,126832,525484,0,17,3784
2026-09-03T14:02:37Z,201619,655208,126832,528376,0,17,3802
2026-09-03T14:03:37Z,201679,658112,126832,531280,0,17,3805
2026-09-03T14:04:37Z,201739,661012,126832,534180,0,17,3826
2026-09-03T14:05:37Z,201799,663916,126832,537084,0,17,3846
2026-09-03T14:06:38Z,201860,666816,126832,539984,0,17,3814
2026-09-03T14:07:38Z,201920,653336,126832,526504,0,17,3801
2026-09-03T14:08:38Z,201980,656236,126832,529404,0,17,3803
2026-09-03T14:09:38Z,202040,659132,126832,532300,0,17,3789
2026-09-03T14:10:38Z,202100,662036,126832,535204,0,17,3825
2026-09-03T14:11:38Z,202160,648548,126832,521716,0,17,3808
2026-09-03T14:12:38Z,202220,651444,126832,524612,0,17,3793
2026-09-03T14:13:38Z,202280,654348,126832,527520,0,17,3792
2026-09-03T14:14:38Z,202340,657244,126832,530412,0,17,3815
2026-09-03T14:15:38Z,202400,660140,126832,533308,0,17,3819
2026-09-03T14:16:38Z,202460,663044,126832,536212,0,17,3807
2026-09-03T14:17:38Z,202520,665940,126832,539108,0,17,3807
2026-09-03T14:18:39Z,202581,652460,126832,525628,0,17,3803
2026-09-03T14:19:39Z,202641,655360,126832,528528,0,17,3796
2026-09-03T14:20:39Z,202701,658260,126832,531428,0,17,3827
2026-09-03T14:21:39Z,202761,661160,126832,534332,0,17,3793
2026-09-03T14:22:39Z,202821,647680,126832,520848,0,17,3784
2026-09-03T14:23:39Z,202881,650580,126832,523748,0,17,3768
2026-09-03T14:24:39Z,202941,653484,126832,526652,0,17,3788
2026-09-03T14:25:39Z,203001,656380,126832,529548,0,17,3812
2026-09-03T14:26:39Z,203061,659284,126832,532452,0,17,3809
2026-09-03T14:27:39Z,203121,662184,126832,535352,0,17,3834
2026-09-03T14:28:39Z,203181,665076,126832,538244,0,17,3822
2026-09-03T14:29:39Z,203241,651592,126832,524760,0,17,3796
2026-09-03T14:30:39Z,203301,654488,126832,527656,0,17,3820
2026-09-03T14:31:39Z,203361,657388,126832,530556,0,17,3807
2026-09-03T14:32:40Z,203422,660292,126832,533460,0,17,3815
2026-09-03T14:33:40Z,203482,646808,126832,519976,0,17,3801
2026-09-03T14:34:40Z,203542,649704,126832,522872,0,17,3796
2026-09-03T14:35:40Z,203602,652600,126832,525768,0,17,3819
2026-09-03T14:36:40Z,203662,655500,126832,528668,0,17,3820
2026-09-03T14:37:40Z,203722,658404,126832,531572,0,17,3803
2026-09-03T14:38:40Z,203782,661304,126832,534472,0,17,3788
2026-09-03T14:39:40Z,203842,664200,126832,537368,0,17,3789
2026-09-03T14:40:40Z,203902,667104,126832,540272,0,17,3844
2026-09-03T14:41:40Z,203962,653620,126832,526788,0,17,3812
2026-09-03T14:42:40Z,204022,656520,126832,529688,0,17,3796
2026-09-03T14:43:40Z,204082,659424,126832,532592,0,17,3818
2026-09-03T14:44:41Z,204143,662320,126832,535488,0,17,3855
2026-09-03T14:45:41Z,204203,648832,126832,522000,0,17,3842
2026-09-03T14:46:41Z,204263,651732,126832,524900,0,17,3816
2026-09-03T14:47:41Z,204323,654628,126832,527796,0,17,3810
2026-09-03T14:48:41Z,204383,657528,126832,530696,0,17,3804
2026-09-03T14:49:41Z,204443,660432,126832,533600,0,17,3795
2026-09-03T14:50:41Z,204503,663332,126832,536500,0,17,3831
2026-09-03T14:51:41Z,204563,666232,126832,539400,0,17,3813
2026-09-03T14:52:41Z,204623,652752,126832,525920,0,17,3802
2026-09-03T14:53:41Z,204683,655656,126832,528824,0,17,3799
2026-09-03T14:54:41Z,204743,658556,126832,531724,0,17,3832
2026-09-03T14:55:41Z,204803,661456,126832,534624,0,17,3823
2026-09-03T14:56:41Z,204863,647980,126832,521148,0,17,3814
2026-09-03T14:57:41Z,204923,650888,126832,524060,0,17,3796
2026-09-03T14:58:41Z,204983,653792,126832,526960,0,17,3798
2026-09-03T14:59:42Z,205044,656700,126832,529868,0,17,3806
2026-09-03T15:00:42Z,205104,659600,126832,532768,0,17,3831
2026-09-03T15:01:42Z,205164,662504,126832,535672,0,17,3821
2026-09-03T15:02:42Z,205224,665404,126832,538572,0,17,3821
2026-09-03T15:03:42Z,205284,651920,126832,525088,0,17,3813
2026-09-03T15:04:42Z,205344,654820,126832,527988,0,17,3824
2026-09-03T15:05:42Z,205404,657720,126832,530888,0,17,3819
2026-09-03T15:06:42Z,205464,660624,126832,533792,0,17,3821
2026-09-03T15:07:42Z,205524,647144,126832,520312,0,17,3797
2026-09-03T15:08:42Z,205584,650036,126832,523204,0,17,3790
2026-09-03T15:09:42Z,205644,652940,126832,526108,0,17,3805
2026-09-03T15:10:42Z,205704,655844,126832,529012,0,17,3821
2026-09-03T15:11:42Z,205764,658740,126832,531912,0,17,3799
2026-09-03T15:12:42Z,205824,661644,126832,534812,0,17,3813
2026-09-03T15:13:43Z,205885,664544,126832,537712,0,17,3789
2026-09-03T15:14:43Z,205945,651060,126832,524228,0,17,3851
2026-09-03T15:15:43Z,206005,653952,126832,527124,0,17,3806
2026-09-03T15:16:43Z,206065,656856,126832,530024,0,17,3807
2026-09-03T15:17:43Z,206125,659752,126832,532920,0,17,3800
2026-09-03T15:18:43Z,206185,662648,126832,535816,0,17,3763
2026-09-03T15:19:43Z,206245,649164,126832,522332,0,17,3794
2026-09-03T15:20:43Z,206305,652060,126832,525228,0,17,3774
2026-09-03T15:21:43Z,206365,654960,126832,528128,0,17,3782
2026-09-03T15:22:43Z,206425,657860,126832,531028,0,17,3767
2026-09-03T15:23:43Z,206485,660764,126832,533932,0,17,3820
2026-09-03T15:24:43Z,206545,663664,126832,536832,0,17,3830
2026-09-03T15:25:43Z,206605,666560,126832,539728,0,17,3751
2026-09-03T15:26:44Z,206666,653076,126832,526244,0,17,3770
2026-09-03T15:27:44Z,206726,655972,126832,529140,0,17,3766
2026-09-03T15:28:44Z,206786,658872,126832,532044,0,17,3752
2026-09-03T15:29:44Z,206846,661772,126832,534944,0,17,3751
2026-09-03T15:30:44Z,206906,648288,126832,521460,0,17,3816
2026-09-03T15:31:44Z,206966,651184,126832,524352,0,17,3803
2026-09-03T15:32:44Z,207026,654080,126832,527248,0,17,3808
2026-09-03T15:33:44Z,207086,656980,126832,530148,0,17,3813
2026-09-03T15:34:44Z,207146,659880,126832,533052,0,17,3838
2026-09-03T15:35:44Z,207206,662788,126832,535956,0,17,3835
2026-09-03T15:36:44Z,207266,665684,126832,538852,0,17,3822
2026-09-03T15:37:44Z,207326,652200,126832,525368,0,17,3817
2026-09-03T15:38:45Z,207387,655096,126832,528264,0,17,3783
2026-09-03T15:39:45Z,207447,657996,126832,531164,0,17,3817
2026-09-03T15:40:45Z,207507,660900,126832,534068,0,17,3845
2026-09-03T15:41:45Z,207567,663792,126832,536960,0,17,3796
2026-09-03T15:42:45Z,207627,650308,126832,523476,0,17,3794
2026-09-03T15:43:45Z,207687,653204,126832,526372,0,17,3775
2026-09-03T15:44:45Z,207747,656108,126832,529276,0,17,3834
2026-09-03T15:45:45Z,207807,659012,126832,532180,0,17,3810
2026-09-03T15:46:45Z,207867,661908,126832,535076,0,17,3843
2026-09-03T15:47:45Z,207927,664800,126832,537968,0,17,3794
2026-09-03T15:48:45Z,207987,651328,126832,524496,0,17,3777
2026-09-03T15:49:45Z,208047,654224,126832,527392,0,17,3788
2026-09-03T15:50:45Z,208107,657120,126832,530288,0,17,3836
2026-09-03T15:51:45Z,208167,660020,126832,533188,0,17,3832
2026-09-03T15:52:45Z,208227,662912,126832,536080,0,17,3794
2026-09-03T15:53:46Z,208288,649436,126832,522608,0,17,3814
2026-09-03T15:54:46Z,208348,652332,126832,525500,0,17,3825
2026-09-03T15:55:46Z,208408,655232,126832,528400,0,17,3815
2026-09-03T15:56:46Z,208468,658128,126832,531296,0,17,3825
2026-09-03T15:57:46Z,208528,661028,126832,534196,0,17,3791
2026-09-03T15:58:46Z,208588,663924,126832,537092,0,17,3791
2026-09-03T15:59:46Z,208648,650440,126832,523608,0,17,3775
2026-09-03T16:00:46Z,208708,653340,126832,526508,0,17,3817
2026-09-03T16:01:46Z,208768,656244,126832,529412,0,17,3792
2026-09-03T16:02:46Z,208828,659144,126832,532312,0,17,3784
2026-09-03T16:03:46Z,208888,662040,126832,535208,0,17,3781
2026-09-03T16:04:46Z,208948,648560,126832,521728,0,17,3822
2026-09-03T16:05:46Z,209008,651460,126832,524628,0,17,3814
2026-09-03T16:06:46Z,209068,654364,126832,527532,0,17,3816
2026-09-03T16:07:46Z,209128,657268,126832,530436,0,17,3793
2026-09-03T16:08:46Z,209188,660160,126832,533328,0,17,3792
2026-09-03T16:09:47Z,209249,663064,126832,536232,0,17,3786
2026-09-03T16:10:47Z,209309,665964,126832,539132,0,17,3830
2026-09-03T16:11:47Z,209369,652480,126832,525648,0,17,3805
2026-09-03T16:12:47Z,209429,655380,126832,528548,0,17,3790
2026-09-03T16:13:47Z,209489,658284,126832,531456,0,17,3798
2026-09-03T16:14:47Z,209549,661184,126832,534352,0,17,3818
2026-09-03T16:15:47Z,209609,664080,126832,537248,0,17,3805
2026-09-03T16:16:47Z,209669,650604,126832,523772,0,17,3818
2026-09-03T16:17:47Z,209729,653504,126832,526672,0,17,3791
2026-09-03T16:18:47Z,209789,656408,126832,529576,0,17,3771
2026-09-03T16:19:47Z,209849,659304,126832,532472,0,17,3762
2026-09-03T16:20:47Z,209909,662204,126832,535372,0,17,3789
2026-09-03T16:21:47Z,209969,665104,126832,538272,0,17,3800
2026-09-03T16:22:47Z,210029,651616,126832,524788,0,17,3797
2026-09-03T16:23:47Z,210089,654520,126832,527688,0,17,3770
2026-09-03T16:24:48Z,210150,657416,126832,530584,0,17,3815
2026-09-03T16:25:48Z,210210,660316,126832,533484,0,17,3772
2026-09-03T16:26:48Z,210270,663216,126832,536384,0,17,3763
2026-09-03T16:27:48Z,210330,649736,126832,522904,0,17,3756
2026-09-03T16:28:48Z,210390,652640,126832,525808,0,17,3720
2026-09-03T16:29:48Z,210450,655536,126832,528704,0,17,3733
2026-09-03T16:30:48Z,210510,658440,126832,531612,0,17,3842
2026-09-03T16:31:48Z,210570,661344,126832,534512,0,17,3809
2026-09-03T16:32:48Z,210630,664240,126832,537408,0,17,3799
2026-09-03T16:33:48Z,210690,650760,126832,523928,0,17,3805
2026-09-03T16:34:48Z,210750,653656,126832,526824,0,17,3821
2026-09-03T16:35:48Z,210810,656560,126832,529728,0,17,3812
2026-09-03T16:36:48Z,210870,659456,126832,532624,0,17,3829
2026-09-03T16:37:48Z,210930,662352,126832,535520,0,17,3801
2026-09-03T16:38:48Z,210990,648868,126832,522036,0,17,3798
2026-09-03T16:39:48Z,211050,651764,126832,524936,0,17,3786
2026-09-03T16:40:48Z,211110,654664,126832,527832,0,17,3804
2026-09-03T16:41:49Z,211171,657564,126832,530732,0,17,3809
2026-09-03T16:42:49Z,211231,660468,126832,533636,0,17,3796
2026-09-03T16:43:49Z,211291,663372,126832,536540,0,17,3792
2026-09-03T16:44:49Z,211351,649888,126832,523056,0,17,3816
2026-09-03T16:45:49Z,211411,652792,126832,525960,0,17,3810
2026-09-03T16:46:49Z,211471,655696,126832,528864,0,17,3802
2026-09-03T16:47:49Z,211531,658588,126832,531756,0,17,3776
2026-09-03T16:48:49Z,211591,661484,126832,534652,0,17,3775
2026-09-03T16:49:49Z,211651,664388,126832,537556,0,17,3785
2026-09-03T16:50:49Z,211711,650904,126832,524072,0,17,3816
2026-09-03T16:51:49Z,211771,653804,126832,526972,0,17,3800
2026-09-03T16:52:49Z,211831,656708,126832,529876,0,17,3786
2026-09-03T16:53:49Z,211891,659608,126832,532776,0,17,3782
2026-09-03T16:54:49Z,211951,662504,126832,535672,0,17,3807
2026-09-03T16:55:49Z,212011,665404,126832,538572,0,17,3805
2026-09-03T16:56:50Z,212072,651908,126832,525076,0,17,3789
2026-09-03T16:57:50Z,212132,654812,126832,527980,0,17,3781
2026-09-03T16:58:50Z,212192,657700,126832,530868,0,17,3776
2026-09-03T16:59:50Z,212252,660608,126832,533776,0,17,3781
2026-09-03T17:00:50Z,212312,663508,126832,536676,0,17,3815
2026-09-03T17:01:50Z,212372,650020,126832,523188,0,17,3799
2026-09-03T17:02:50Z,212432,652912,126832,526080,0,17,3794
2026-09-03T17:03:50Z,212492,655812,126832,528980,0,17,3797
2026-09-03T17:04:50Z,212552,658708,126832,531876,0,17,3804
2026-09-03T17:05:50Z,212612,661612,126832,534780,0,17,3819
2026-09-03T17:06:50Z,212672,664516,126832,537684,0,17,3800
2026-09-03T17:07:50Z,212732,651032,126832,524200,0,17,3797
2026-09-03T17:08:50Z,212792,653928,126832,527100,0,17,3806
2026-09-03T17:09:51Z,212853,656828,126832,529996,0,17,3790
2026-09-03T17:10:51Z,212913,659724,126832,532896,0,17,3803
2026-09-03T17:11:51Z,212973,662628,126832,535796,0,17,3793
2026-09-03T17:12:51Z,213033,665524,126832,538696,0,17,3772
2026-09-03T17:13:51Z,213093,652040,126832,525208,0,17,3751
2026-09-03T17:14:51Z,213153,654932,126832,528100,0,17,3825
2026-09-03T17:15:51Z,213213,657832,126832,531000,0,17,3799
2026-09-03T17:16:51Z,213273,660728,126832,533896,0,17,3803
2026-09-03T17:17:51Z,213333,663624,126832,536792,0,17,3804
2026-09-03T17:18:51Z,213393,650140,126832,523308,0,17,3785
2026-09-03T17:19:51Z,213453,653036,126832,526204,0,17,3788
2026-09-03T17:20:51Z,213513,655928,126832,529096,0,17,3798
2026-09-03T17:21:51Z,213573,658828,126832,531996,0,17,3797
2026-09-03T17:22:51Z,213633,661728,126832,534900,0,17,3812
2026-09-03T17:23:51Z,213693,664632,126832,537800,0,17,3783
2026-09-03T17:24:52Z,213754,651148,126832,524316,0,17,3800
2026-09-03T17:25:52Z,213814,654044,126832,527212,0,17,3812
2026-09-03T17:26:52Z,213874,656944,126832,530112,0,17,3824
2026-09-03T17:27:52Z,213934,659840,126832,533008,0,17,3796
2026-09-03T17:28:52Z,213994,662748,126832,535916,0,17,3795
2026-09-03T17:29:52Z,214054,649268,126832,522436,0,17,3776
2026-09-03T17:30:52Z,214114,652172,126832,525340,0,17,3810
2026-09-03T17:31:52Z,214174,655072,126832,528240,0,17,3790
2026-09-03T17:32:52Z,214234,657972,126832,531140,0,17,3784
